From_loc,To_loc,timing,date,number_of_tickets
ponkunnam,kozhikkode,6 - 10,04-06-2021,56.0
muvattupuzha,kumily,2 - 6,04-06-2021,1.0
ponkunnam,kozhikkode,2 - 6,04-06-2021,19.0
kumily,ernakulam,6 - 10,04-06-2021,2.0
kollam,oachira,6 - 10,04-06-2021,1.0
oachira,kollam,6 - 10,04-06-2021,1.0
ponkunnam,kozhikkode,6 - 10,05-06-2021,12.0
kollam,oachira,6 - 10,05-06-2021,1.0
ponkunnam,kozhikkode,2 - 6,05-06-2021,9.0
muvattupuzha,kumily,2 - 6,05-06-2021,1.0
ponkunnam,kozhikkode,6 - 11,05-06-2021,5.0
