Route,Count
kottayam kuruvilangad,2
kuruvilangad kottayam,2
piravom kottayam,5
vellanathuruth karunagappally,10
kottayam piravom,6
kattappana kozhimala,2
kozhimala kattappana,2
kumily kattappana,8
bangalore thiruvananthapuram,4
kothamangalam pooyamkutty,3
pooyamkutty kothamangalam,3
kothamangalam aluva,8
aluva kothamangalam,7
noolpuzha sulthan bathery,40
sulthan bathery karippoor,18
kothad ferry ernakulam,1
kothad ferry chathamma,2
kothad ferry cheppanam,3
parappil nilamel,2
cheppanam kothad ferry,3
nilamel parappil,1
chathamma kothad ferry,2
parappil kilimanoor,5
kodungallur munnakal beach,1
kilimanoor parappil,4
munnakal beach athirappally,1
athirappally snehatheeram,1
attingal nedumangad,52
snehatheeram mala,1
snehatheeram kodungallur,1
mala snehatheeram,1
nedumangad attingal,50
thalanadu erattupetta,9
erattupetta mankompu school,1
aluva manjapra,2
manjapra aluva,2
aluva hmt,9
hmt aluva,9
aluva neduvannoor,11
neduvannoor aluva,11
aluva kalady,17
punalur pathanamthitta,32
punalur aryankavu,12
kalady aluva,19
aryankavu anachady,1
anachady aryankavu,1
anachady punalur,1
punalur anachady,1
punalur chenkulam,2
chenkulam kottarakkara,1
kottarakkara punalur railway station,43
punalur railway station thenmala,17
thenmala punalur railway station,16
punalur kazhuthurutty,1
kazhuthurutty punalur,1
chenkulam anchal,1
kalady marampally,1
thodupuzha thiruvananthapuram,8
thiruvananthapuram thodupuzha,8
kozhikkode ernakulam,21
kilimanoor pathanapuram,1
thiruvananthapuram pathanamthitta,16
pathanamthitta thiruvananthapuram,17
kilimanoor thiruvananthapuram,25
punalur kilimanoor,2
thiruvananthapuram adoor,9
adoor kilimanoor,1
adoor thiruvananthapuram,7
kottarakkara thiruvananthapuram,38
pathanamthitta ranny,7
thiruvananthapuram parippally,4
parippally kallambalam,1
chadayamangalam kadakkal,15
kadakkal tvm medical college,3
nilamel tvm medical college,2
tvm medical college nilamel,3
chadayamangalam pallikkunnumpuram,1
pallikkunnumpuram kadakkal,1
nedumangad kattakkada,103
kadakkal kurakkodu,2
kurakkodu thiruvananthapuram,1
thiruvananthapuram anchal,6
thiruvananthapuram chadayamangalam,3
kakkanad muvattupuzha,2
ernakulam muvattupuzha,24
thrippunithura aluva,56
aluva thrippunithura,59
aluva north paravoor,178
karunagappally mavelikkara,4
kayamkulam patharam,2
patharam oachira,1
oachira karunagappally,13
karunagappally alappuzha,5
kayamkulam vallikunnam,2
vallikunnam kayamkulam,3
kayamkulam choonad,3
choonad harippad,1
kayamkulam railway station,1
kayamkulam railway station karuvatta,2
karuvatta ambalassery kadavu,1
ambalassery kadavu kayamkulam,1
kayamkulam muthukulam high school,1
muthukulam high school kayamkulam,1
kayamkulam harippad,25
chavara kayamkulam,18
chavara karunagappally,16
karunagappally chavara,8
piravom ettumanoor,2
koothattukulam piravom,8
ettumanoor piravom,2
marampally kalady,1
thodupuzha moolamattom,25
moolamattom thodupuzha,23
thodupuzha thopramkudy,4
thopramkudy kottayam,1
thopramkudy thodupuzha,3
mananthavady santhigiri (stay),1
santhigiri mananthavady,1
mananthavady perikkallur,2
perikkallur payyannur,1
mananthavady malakkallu,1
malakkallu mananthavady,1
pavumba kollam,1
kollam (chinnakada) pavumba,2
kollam pavumba,1
kayamkulam chirakkal temple,3
chirakkal temple kollam (chinnakada),3
chirakkal temple kollam,1
kollam (chinnakada) chirakkal temple,2
karunagappally kollam (chinnakada),77
kollam (chinnakada) alumkadavu,4
kollam alumkadavu,3
kasaragod kannur,64
thiruvananthapuram paruthikuzhy (stay),2
alumkadavu kollam,3
nedumangad paruthikuzhy,10
attingal thiruvananthapuram,79
kazhakkoottam neyyattinkara,2
paruthikuzhy nedumangad,9
thenkasi kottayam,6
kottayam kumily,57
kumily kottayam,58
kottayam kozhikkode,14
kozhikkode kottayam,8
kottayam thiruvananthapuram,34
chalakudy aluva,72
vellanathuruth chavara,1
kayamkulam vellanathuruthu,3
karunagappally kozhicode (kollam),67
kozhicode (kollam) kayamkulam,1
pollachi pudunagaram,2
chittoor pollachi,1
pudunagaram pollachi,1
kuzhimathicadu kollam,2
kuzhimathicadu kayamkulam,1
kuzhimathicadu karunagappally,1
karunagappally kuzhimathicadu,1
kayamkulam kuzhimathicadu,1
north paravoor aluva,177
kottavila east fort,2
ponmudi thiruvananthapuram,6
east fort kottavila,1
karunagappally bharanikkavu,4
east fort aryanad,45
muvattupuzha elanji,3
kottathara kalpetta civil station,5
erattupetta kaipally,4
kaipally thiruvananthapuram,1
erattupetta thiruvananthapuram,6
mala ernakulam,1
ernakulam mala,3
muvattupuzha kumily,1
kumily ernakulam,13
kanhangad kasaragod,66
attingal varkala,51
cheriyakonni east fort,4
vellanad thirumala,1
thirumala meenankal,1
east fort meenankal,1
east fort parandode,1
meenankal east fort,2
thiruvananthapuram kollam,108
parandode vellanad,1
east fort vilappilsala,2
kollam thiruvananthapuram,104
vilappilsala east fort,2
vellanad kottavila,1
mundakayam punalur,15
punalur ponkunnam,7
ponkunnam neyyattinkara,1
neyyattinkara thiruvananthapuram,48
thiruvananthapuram ponkunnam,2
ponkunnam thiruvananthapuram,3
mundakayam thiruvananthapuram,2
thiruvananthapuram mundakayam,2
ponkunnam mundakayam,8
mundakayam ponkunnam,4
ponkunnam kozhikkode,2
kozhikkode ponkunnam,2
ponkunnam nedumkandam,1
nedumkandam kottayam,4
kottayam mundakayam,11
palakkad thrissur,93
kazhakkoottam perumathura,24
kamballur cherupuzha,1
payyannur tabore,3
payyannur tabore (stay),4
tabore payyannur,3
kaliyikkavila mundakayam,1
erumely palakkad,2
palakkad erumely,6
erumely guruvayoor,1
guruvayoor erumely,1
kattakkada nedumangad,100
nedumangad venjaramoodu,10
kottayam medical college kavalam,36
kottayam medical college kavalam lisieux churuch,37
medical college kottayam,12
kottayam kochumattom,5
kochumattom kottayam,5
kottayam kayamkulam,9
kayamkulam kottayam,11
kottayam lakkattoor,2
lakkattoor kottayam medical college,2
kottayam medical college thiruvalla,39
kottayam thiruvalla,31
thiruvalla kottayam medical college,26
kottayam medical college ambalappuzha,57
ambalappuzha kottayam,13
kottayam pathinanchil kadavu,4
pathinanchil kadavu kottayam,3
kottayam changanassery,10
kottayam medical college changanassery,20
changanassery kottayam medical college,8
changanassery kottayam,7
kottayam thiruvarpu,5
thodupuzha angamaly,5
angamaly perumbavoor,1
perumbavoor angamaly,1
parassala kaliyikkavila,25
kaliyikkavila parassala,28
kaliyikkavila chakkulathukavu,2
chakkulathukavu thiruvananthapuram,6
attingal kaliyikkavila,4
parassala ernakulam,2
ernakulam kaliyikkavila,3
kaliyikkavila ernakulam,2
thiruvananthapuram colachel,3
colachel thiruvananthapuram,3
thiruvananthapuram kaliyikkavila,126
narakathinkala thiruvananthapuram,2
vithura podiyakala,1
kozhencherry kottayam,35
podiyakala manaly,1
manaly nedumangad,1
nedumangad podiyakala,2
podiyakala nedumangad,1
podiyakala thiruvananthapuram,1
vithura chettachal,2
chettachal chathancode,1
palode jersy farm,1
thiruvananthapuram nedumangad,88
thiruvananthapuram aluva,4
aluva aruvippuram,1
aruvippuram aluva,1
aluva pollachi,1
pollachi alappuzha,1
aluva pathanamthitta,1
pathanamthitta thrissur,2
anjarakandy thalassery,1
thalassery koothuparamba,6
koothuparamba vengad,2
vengad thalassery,3
koothuparamba thalassery,4
muthukurussi perinthalmanna,13
perinthalmanna muthukurussi,13
muthukurussi melkulangara,1
muthukurussi alanallur,1
melkulangara muthukurussi,1
alanallur perinthalmanna,5
perinthalmanna alanallur,4
perinthalmanna melkulangara,4
melkulangara perinthalmanna,4
perinthalmanna pattambi,4
pattambi perinthalmanna,2
pattambi valanchery,4
anchal thiruvananthapuram,2
thiruvizhamkunnu pattambi,1
kadakkal thiruvananthapuram,8
perinthalmanna cherpulassery,2
thiruvananthapuram kadakkal,7
kadakkal erattakulam,1
erattakulam chadayamangalam,1
cherpulassery perinthalmanna,1
kottayam peruva,1
chadayamangalam perappayam,2
cherpulassery koppam,1
peruva kottayam,1
perappayam kottarakkara,1
koppam perinthalmanna,1
kottarakkara ambalamkunnu,2
perinthalmanna gudallur,9
koothattukulam cherumthadam,1
north paravoor kottayil kovilakom,2
changanassery kavalam,28
kollam thenkasi,17
kollam madurai,1
madurai kollam,1
thenkasi kollam,22
kollam kulathupuzha,47
kozhikkode sulthan bathery,66
thiruvananthapuram ernakulam,39
vandanam medical college harippad,21
harippad alappuzha,53
harippad kayamkulam,27
harippad oachira,7
oachira vandanam medical college,19
muvattupuzha perumbavoor,22
