Route,Count
kulathoormozhy mallappally,2
vembayam vamanapuram,1
thiruvananthapuram neyyattinikara,1
poovar neyyattinikara,19
angamaly thiruvananthapuram,2
thiruvananthapuram angamaly,3
aluva thuruthippuram (stay),12
aluva varapuzha,6
aluva varapuzha (stay),7
nedumangad iqbal college,3
east fort mundela (stay),7
thuruthipuram aluva,11
neyyattinkara anavoor hs,2
thaliparamba perumbadavu,3
pulingome alakode,1
alakode payyannur,1
payyannur sulthan bathery,1
sulthan bathery payyannur,1
keezhpally payyannur,1
thaliparamba keezhpally (stay),1
kanhangad neeleswaram,4
neeleswaram kanhangad,2
anchal tvm medical college,2
kilimanoor kallambalam,2
kallambalam parippally,1
parippally kallara,4
kilimanoor pallikkal,4
pallikkal thiruvananthapuram,1
thiruvananthapuram pallikkal,1
pallikkal kallara,1
thiruvananthapuram oyoor,2
oyoor kilimanoor,2
kilimanoor thengumcode,1
kilimanoor thengumcode (stay),2
thengumcode kilimanoor,2
thengumcode karettu,2
karettu thengumcode,3
thiruvananthapuram thengumcode,1
thengumcode thiruvananthapuram,2
kilimanoor vellalloor,1
vellalloor kilimanoor,1
kallara kallambalam,1
kallambalam kadakkal,1
attingal bharathanoor,2
bharathanoor kilimanoor,1
kilimanoor kurinjilakkadu,1
kurinjilakkadu tvm medical college,2
attingal parappil,4
parappil thiruvananthapuram,5
thiruvananthapuram parappil (stay),3
thiruvananthapuram kurinjilakkadu,1
tvm medical college kurinjilakkadu,1
karunagapally vallikunnam,1
vallikunnam chavara,1
oachira padappanal,1
padappanal harippad,1
karunagapally cheriyazheekal,4
cheriyazheekal kollam (chinnakada),1
karunagappally thengamam,1
sasthamkotta thengamam,1
thengamam sasthamkotta,1
thengamam kayamkulam,2
thengamam oachira,1
oachira thengamam,1
karunagappally chittumala,1
oachira kadapuzha,1
chittumala kayamkulam,1
thekkumbhagam oachira,2
vellanathuruthu kayamkulam,1
oachira mookkumpuzha,1
mookkumpuzha kayamkulam,1
karunagappally cheriazheekal,2
cheriazheekal karunagappally,2
cheriazheekal kayamkulam,4
kayamkulam cheriazheekal,4
kollam cheriazheekal,1
cheriazheekal kollam,1
kollam (chinnakada) thodiyoor h s,1
thodiyoor h s kayamkulam,1
kayamkulam thodiyoor h s,1
thodiyoor h s kollam (chinnakada),1
karunagappally vallikavu,6
vallikkavu kollam,1
kollam (chinnakada) vallikkavu,2
kollam vallikkavu,1
vallikkavu karunagappally,4
karunagapally pattathilkadavu,1
pattathilkadavu kollam (chinnakada),4
kollam (chinnakada) pattathilkadavu,4
cholathadam erattupetta,1
amballur aluva,3
kakkanad chalakudy,1
thiruvananthapuram chirakkal temple,1
chirakkal temple thiruvananthapuram,1
attingal muthalapozhy,1
vembayam kaniyapuram,2
kaniyapuram nedumangad,6
kasaragod sullia,17
sullia kasaragod,19
poothotta alappuzha (stay),1
kannur mananthavady,8
mananthavady kannur,8
kannur iritty,16
kottarakkara kottayam,15
kottayam kottarakkara,18
kollam pamba,1
pamba thiruvananthapuram,3
kottarakkara ernakulam,1
ernakulam thiruvananthapuram,37
ernakulam kottarakkara,1
mangalapuram peranam temple,1
thalassery kuttiady,1
vattapara piravom,3
thiruvananthapuram muthalapozhy,1
plampazhinji tvm medical college,2
neyyatinkara pannimala,3
pannimala thiruvananthapuram,3
mooverikara thiruvananthapuram,1
neyyattinkara mooverikara,2
thiruvananthapuram kodankara,5
kodankara neyyattinkara,5
neyyattinkara manjamcode,2
manjamcode neyyattinkara,2
neyyattinkara thirupuram temple,1
thirupuram temple attukal temple,2
attukal temple thirupuram temple,1
attukal temple neyyattinkara,2
kulathoor hs attukal temple,1
neyyattinkara chengalloor,1
chengalloor neyyattinkara,1
neyyattinkara mannamkonam,2
dalummugham neyyattinkara,2
mannamkonam neyyattinkara,5
parassala neyyattinkara,3
neyyattinkara parassala,6
neyyattinkara hospital jn pozhiyoor,36
cherthala ernakulam,10
thoppumpady kuthiyathode,5
kuthiyathode thoppumpady,5
thiruvananthapuram vazhikkadavu,3
vazhikkadavu thiruvananthapuram,4
kozhikkode thamarassery,57
kurinjilakkadu attingal,1
attingal kurinjilakkadu,1
kurinjilakkadu kilimanoor,1
kilimanoor madathara,5
madathara thiruvananthapuram,9
medical college thiruvananthapuram,2
thiruvananthapuram chithara,1
chithara kilimanoor,1
kilimanoor iruloor,2
iruloor kilimanoor,2
kilimanoor iqbal college,1
attingal iqbal college,1
iqbal college attingal,1
iqbal college kilimanoor,1
kallara karettu,1
thiruvananthapuram manjappara,1
manjappara kilimanoor,1
parappil oyoor,2
oyoor parappil,1
pallikkal kilimanoor,5
kilimanoor pakalkuri (stay),2
pakalkuri parappil,1
kadakkal kurumpayam,1
kurumpayam thiruvananthapuram,1
kilimanoor parippally,6
parippally attingal,3
puthenkurish kothamangalam,1
kothamangalam pinavoorkudy,4
pinavoorkudy kothamangalam,2
kothamangalam manikandanchal,2
manikandanchal ernakulam,2
pinavoorkudy aluva,1
kasaragod sullia (stay),19
venjaramoodu kottarakkara,1
thiruvananthapuram punalur,31
punalur thiruvananthapuram,29
venjaramoodu guruvayoor,1
kasaragod puttur,17
puttur kasaragod,19
kasaragod puttur (stay),19
kasaragod subrahmanya,2
kasaragod subrahmanya (stay),3
ponnani manjeri,3
manjeri ponnani,3
manjeri guruvayoor,1
malappuram ponnani,2
ponnani malappuram,2
veliancode manjeri,1
guruvayoor manjeri,1
guruvayoor ponnani,2
ponnani guruvayoor,3
tirur chavakkad,1
chavakkad ponnani,1
ponnani veliancode,1
ponnani palakkad,5
palakkad ponnani,9
punalur thenkasi,10
thenkasi punalur,8
vizhinjam poovar,13
neyyattinkara kochupally,3
venjaramoodu pothencode,11
mannarasala kottayam,1
thiruvalla adoor,38
adoor othera,1
karunagappally vandanam medical college,4
vandanam medical college karunagappally,6
kayamkulam parayakadavu,4
parayakadavu kayamkulam,4
vannapuram muvattupuzha,1
muvattupuzha kothamangalam,9
kothamangalam muvattupuzha,9
muvattupuzha mulappuram (stay),1
mulappuram ernakulam,1
kakkanad thodupuzha,2
thodupuzha muvattupuzha,16
muvattupuzha peruva,1
peruva muvattupuzha,1
muvattupuzha thrippunithura,8
thrippunithura muvattupuzha,8
muvattupuzha manipara,1
manipara kaloor,1
kaloor chelachuvadu,2
chelachuvadu kolenchery,1
muvattupuzha aaroor,2
aaroor ernakulam,1
muvattupuzha ernakulam,23
mananthavady pulpally,32
anavoor hs poozhikunnu,1
kollam (chinnakada) kumbalam,13
neyyattinkara veliyamcode,1
veliyamcode thiruvananthapuram,7
kollam kumbalam (stay),12
thiruvananthapuram veliyamcode,7
thiruvananthapuram malachani,5
malachani thiruvananthapuram,5
kumbalam kollam,10
vellarada parassala,6
parassala vellarada,6
kumbalam kollam (chinnakada),12
kumbalam kollam civil station,13
kumbalam kayamkulam,1
muttom kumbalam,1
kollam padappakkara,12
thiruvananthapuram chappath,12
chappath thiruvananthapuram,12
kayamkulam azheekkal,2
vizhinjam thiruvananthapuram civil station,88
thiruvananthapuram civil station vizhinjam,84
east fort thiruvananthapuram civil station,1
thiruvananthapuram civil station vellanad,2
thiruvananthapuram koottappu,5
thiruvananthapuram poozhanadu,1
kattakkada ottasekharamangalam,1
ottasekharamangalam thiruvananthapuram,3
ayilam chirayinkeezhu,1
chirayinkeezhu attingal,2
attingal perumathura,3
perumathura chirayinkeezhu,3
attingal kattaparambu,2
kattaparambu thiruvananthapuram,2
thiruvananthapuram kattaparambu,2
kattaparambu tvm medical college,1
ranny chengannur,2
thiruvalla ithala,1
ithala thiruvalla,1
kattakkada kaliyikkavila,6
kaliyikkavila anavoor,1
anavoor kaliyikkavila,1
pandalam kozhencherry,4
neyyattinkara poozhikunnu,20
poozhikunnu neyyattinkara,16
piravom puthenkurish,1
tvm medical college neyyattinkara,15
puthenkurish parumala pally,1
azheekkal valiazheekal,2
parumala pally piravom,1
kottarakkara kokkadu,28
thodupuzha kottayam,54
thodupuzha cheruthoni,5
cheruthoni thodupuzha,5
adimalathura kaliyikkavila,3
kochupally kaliyikkavila,2
kaliyikkavila vithura,1
thiruvananthapuram parassala,6
nedumangad vellarada,2
ernakulam cheranalloor,1
vellarada nedumangad,2
cheranalloor infopark,1
infopark cheranalloor,1
panachamoodu nedumangad,3
cheranalloor kakkanad,2
nedumangad panachamoodu,3
nedumangad pankavu,1
ernakulam vaduthala,1
panachamoodu aryanad,1
pankavu nedumangad,1
pankavu thiruvananthapuram,3
aryanad vellarada,1
thiruvananthapuram pankavu,3
thiruvananthapuram chemboor,2
chemboor thiruvananthapuram,1
thiruvananthapuram ottasekharamangalam,3
vellanadu aryanad,7
pankavu aryanad,1
chottanikkara thodupuzha,1
thodupuzha kolenchery,1
kolenchery thodupuzha,3
muvattupuzha thodupuzha,12
vazhikkadavu nilambur,11
nilambur vazhikkadavu,10
thodupuzha cumbummettu,1
cumbummettu thodupuzha,1
cumbummettu kattappana,13
kattappana cumbummettu,14
chirakkara panchayath parippally,3
amboori kattakkada,4
kozhikkode muthapanpuzha (stay),3
muthapanpuzha kozhikkode,4
thiruvambady kallanpullu,4
koodaranji kallanpullu,1
kallanpullu koodaranji,1
kallanpullu kozhikkode,2
kozhikkode kallanpullu,2
thamarassery kallanpullu,1
kallanpullu thamarassery,2
kallanpullu anakkampoyil,1
thiruvambady kodenchery,3
kodenchery kozhikkode,3
kozhikkode koombara,2
kozhikkode pullurampara,1
pullurampara kozhikkode,1
koombara kozhikkode,1
kazhakkoottam pothencode,36
north paravoor chathanad (stay),36
kaliyikkavila kuduppanamoodu,2
piravom malayattoor,1
valiazheekal chavara,2
punalur chakkuvarakkal,7
cheruvalam kallara,1
ayilam thiruvananthapuram,1
kadapuzha kollam,4
kollam uppodu,3
attingal pothencode,2
kollam uppodu (stay),4
uppodu kollam,4
pothencode attingal,1
pothencode chirayinkeezhu,1
attingal santhigiri ashram (stay),1
santhigiri ashram attingal,1
attingal st xaviers college,4
varkala kottarakkara,3
st xaviers college attingal,3
kottarakkara varkala,3
st xaviers college tvm medical college,1
venjaramoodu palode,2
tvm medical college st xaviers college,2
st xaviers college thiruvananthapuram,1
chirayinkeezhu kazhakkoottam,10
thiruvananthapuram vakkom,1
vakkom thiruvananthapuram,1
attingal cheruvalam,4
vellanad secretariat,1
attingal cheruvalam (stay),5
secretariat paruthipally,1
cheruvalam attingal,5
paruthipally vellanad,1
east fort puthukulangara,2
puthukulangara east fort,2
panoor thalassery,2
thalassery panoor,2
thalassery valayam,5
valayam thalassery,4
venjaramoodu vamanapuram,1
vamanapuram venjaramoodu,1
venjaramoodu kottukunnam,1
thiruvananthapuram parappil,2
kollam bhoothakulam (stay),1
bhoothakulam kollam,1
parappil venjaramoodu,1
kollam onninmoodu,1
kochupally neyyattinkara,3
onninmoodu kollam civil station,1
neyyattinkara malayinkeezh,1
kollam civil station kallambalam,10
neyyattinkara thiruvananthapuam,4
kottiyam channampoika,2
channampoika kollam (chinnakada),2
parippally kundara kel,1
thiruvananthapuam neyyattinkara,4
kundara kel chirakkara panchayath,1
chirakkara panchayath karunagappally,2
kallambalam chirakkara,1
venjaramoodu tvm medical college,7
tvm medical college aliyadu,1
chirakkara chirakkara panchayath,1
aliyadu thiruvananthapuram,3
malayinkeezh neyyattinkara,1
thiruvananthapuram aliyadu,3
kodankara tvm medical college,3
aliyadu venjaramoodu,1
muvattupuzha velloor,2
chunkapara mepral,2
mepral karukachal,1
velloor muvattupuzha,1
velloor piravom,2
karukachal chunkapara,2
kottayam velloor,1
piravom moolekadavu,1
moolekadavu ernakulam,1
neyyattinkara malachani,1
ernakulam moolekadavu,1
neyyattinkara pottayil mudippura,1
moolekadavu piravom,1
pottayil mudippura thiruvananthapuram,2
piravom kolenchery,3
kolenchery piravom,1
kolenchery kottayam,2
pottayil mudippura tvm medical college,2
kottayam kolenchery,1
tvm medical college pottayil mudippura,1
piravom thalayolaparambu,1
thalayolaparambu ernakulam,1
thiruvananthapuram pottayil mudippura,2
piravom thottoor,1
thottoor piravom,1
vattapara kakkad kadavu,1
kakkad kadavu vattapara,1
piravom velloor,1
velloor ernakulam,1
ernakulam mulakulam,1
mulakulam piravom,1
thodupuzha chottanikkara,1
thakazhy marthoma college,1
thiruvalla mallappally,40
punalur achankovil (stay),8
ranny thrissur,1
punalur ernakulam kaloor,5
kattaparambu attingal,1
thrissur adoor,1
ernakulam kaloor punalur,5
bharanikkavu hs adoor,2
changanassery chengannur,14
adoor kadampanad,2
parippally chirakkara,1
kallara cheruvalam,2
kadampanad adoor,2
thiruvananthapuram kattakkada,97
chirakkara parippally,1
thiruvananthapuram perumathura,41
aluva thadikkakadavu,3
thadikkakadavu aluva,2
north paravoor muvattupuzha,8
muvattupuzha north paravoor,8
ponjassery veliyathunad,1
veliyathunad aluva,11
kollam kayamkulam,24
aluva veliyathunad,9
kaliyikkavila vazhichal,7
angamaly chalakudy,12
chalakudy angamaly,14
chengannur changanassery,9
tvm medical college plampazhinji,1
vaikkom thirunelli temple,1
nedumangad chirayinkeezhu,1
chirayinkeezhu nedumangad,2
nedumangad pothencode,17
pothencode nedumangad,17
kaniyapuram murukkumpuzha,1
murukkumpuzha kaniyapuram,2
undappara poovakode,1
poovakode thiruvananthapuram,3
nedumangad meenankal,6
murukkumpuzha pothencode,2
nedumangad nedumangad (circular),14
pothencode murukkumpuzha,1
pothencode kaniyapuram,12
vembayam murukkumpuzha,2
kaniyapuram vembayam,2
east fort nedumangad,3
nedumangad east fort,2
attaramoola vizhinjam,1
vizhinjam thiruvananthapuram ( ladies only ),87
neyyattinkara secretariat,1
secretariat nellimoodu,1
tvm medical college vizhinjam,2
vizhinjam vizhinjam (circular),2
chappath vizhinjam,1
kattakkada tvm medical college,2
tvm medical college kattakkada,4
thiruvananthapuram maruthoorkonam,2
maruthoorkonam vizhinjam,1
vizhinjam kattakkada,66
kattakkada vizhinjam,65
tvm medical college punalal,2
vellanad mithranikethan,1
mithranikethan east fort,1
nedumangad attukal,1
attukal thiruvananthapuram,1
thiruvananthapuram aruviyode,1
vellanad kuttichal,1
aruviyode nedumangad,2
kuttichal tvm medical college,1
nedumangad sn puram north,4
sn puram north nedumangad,3
east fort kuttichal,1
sn puram north tvm medical college,1
kuttichal east fort,3
thiruvananthapuram ponmudi,5
east fort aruvikkara hs,3
aruvikkara hs east fort,3
aryanad secretariat,2
thiruvananthapuram ponmudi upper,7
ponmudi upper thiruvananthapuram,7
secretariat kuttichal,1
vellanad kannampally,1
kannampally east fort,1
thrissur krishnan kotta,1
othera thiruvalla,8
othera kottayam,1
adoor pathanamthitta,7
changanassery othera,2
pathanamthitta adoor,8
pandalam adoor,15
pandalam enath,3
enath adoor,5
adoor pandalam,18
kottarakkara adoor,35
adoor theppupara,3
theppupara adoor,2
adoor bharanikkavu hs,2
alumkuzhi nedumangad,1
thiruvananthapuram kallara,20
chellanchy thiruvananthapuram,1
anakulam thiruvananthapuram,1
thiruvananthapuram anakulam,2
thiruvananthapuram chellanchy,1
anakulam nedumangad,2
nedumangad velayamdesham,1
velayamdesham puliyoor,1
puliyoor thiruvananthapuram,1
peringamala tvm medical college,1
nedumangad thennoor,2
thennoor nedumangad,2
thiruvananthapuram thennoor,9
thennoor anakulam,1
nedumangad chellanchy,2
chellanchy velayadesham,1
velayadesham thiruvananthapuram,1
palode east fort,2
tvm medical college mankayam,1
mankayam nedumangad,1
mankayam iqbal college,1
iqbal college mankayam,1
thiruvananthapuram chathanoor,6
thalassery vilakkottur,2
vilakkottur thalassery,2
thalassery iritty,11
punalur mundakayam,15
cherthala angamaly,28
mananthavady anakkampoyil,1
anakkampoyil mananthavady,1
chittoor thiruvananthapuram,2
guruvayoor palakkad,44
aaroor muvattupuzha,1
kokkadu kottarakkara,28
thiruvananthapuram kozhencherry,1
kozhencherry thiruvananthapuram,1
neyyatinkara guruvayoor,1
guruvayoor neyyatinkara,1
neyyattinkara kozhikkode,1
kozhikkode neyyattinkara,1
neyyattinkara thrissur,1
thrissur neyyattinkara,1
neyyattinkara ernakulam,4
ernakulam neyyattinkara,4
thiruvananthapuram kannur,3
thiruvananthapuram airport,1
thiruvananthapuram airport kannur,5
kottayam konnakkad,1
kannur thiruvananthapuram,4
kannur madurai,1
madurai kannur,1
asramam esi kayamkulam,1
kannur keezhpally,2
asramam esi oachira,1
keezhpally kannur,2
kayamkulam asramam esi,1
kollam sakthikulangara,1
keezhpally kottayam,1
payyannur orikkadavu,2
sakthikulangara kottiyam,1
orikkadavu payyannur,2
kollam thangassery,1
thiruvananthapuram civil station kattakkada,99
kottayam keezhpally,1
thangassery asramam,4
payyannur kalikkadavu,1
kalikkadavu payyannur,1
cherupuzha malom,4
cherupuzha malom (stay),5
malom cherupuzha,5
madathara kilimanoor,3
kalliyal aryanad,1
kottayam cumbum,1
kodungallur mala,36
kumily changanassery,8
aryanad anandeswaram,1
kochukadavu kodungallur,2
anandeswaram nedumangad,1
pandalam kadampanad,1
kadampanad pandalam,1
edathuva mithrakari,1
kozhikkode thiruvambady,15
mithrakari changanassery,3
thiruvalla kottarakkara,3
kozhikkode muthapanpuzha,2
kottarakkara keerukuzhi,2
keerukuzhi adoor,2
changanassery mithrakari,2
adoor karunagappally,5
karunagappally adoor,3
changanassery ambalappuzha,86
adoor puthoor,8
ambalappuzha changanassery,19
edathuva changanassery,17
changanassery edathuva,14
pandalam puthoor,1
puthoor pandalam,2
changanassery champakulam,31
pandalam kottarakkara,2
adoor enath,3
puthoor adoor,6
ernakulam nedumkandam,3
nedumkandam ernakulam,4
ernakulam kumily,14
kuduppanamoodu kaliyikkavila,1
vazhichal kaliyikkavila,5
thrissur thiruvananthapuram,13
thrissur bangalore,2
thamarassery koilandi,31
aluva aluva (circular),58
champakulam changanassery,32
adoor thiruvalla,38
adoor cherikkal,2
harippad kollam,8
kaliyikkavila east fort,31
thamarassery kozhikkode,58
thamarassery kozhikkode railway station,61
aluva veliyathunad (stay),10
aluva kottapuram,1
kottapuram aluva,1
thrissur pollachi,11
kasaragod mangalapuram,123
pollachi thrissur,12
thrissur ernakulam,47
thiruvananthapuram mannamkonam,1
chengannur muthoor,1
muthoor pandalam,1
pandalam kottayam,4
chengannur pandalam,35
nilambur thirunelli temple,1
thirunelli temple nilambur,1
pandalam mankuzhi,2
mankuzhi pandalam,2
kayamkulam elavumthitta,1
elavumthitta pandalam,1
chengannur enath,1
enath pandalam,1
kaniyapuram pothencode,13
east fort kaliyikkavila,32
kurinjilakkadu karettu,1
karettu kurinjilakkadu,1
kallambalam kilimanoor,1
nilamel thiruvananthapuram,5
alappuzha thycattussery,2
alappuzha thiruvananthapuram,8
thycattussery cherthala,1
thycattussery kalavoor,1
ernakulam erattupetta,6
thycattussery kottayam,1
arthunkal kottayam,2
erattupetta ernakulam,4
aroor temple kottayam,1
cherthala eattu purakkal,3
poovar thiruvananthapuram general hospital,216
mananthavady mysore,3
kollam (chinnakkada) harippad,14
thiruvananthapuram general hospital poovar,226
mysore mananthavady,3
uchakkada thiruvananthapuram,2
mananthavady kumily,1
kumily mananthavady,1
neyyattinkara bhaskar nagar,7
bhaskar nagar neyyattinkara,7
thamarassery guruvayoor,5
injakundu thrissur,3
thrissur chembuchira,1
chembuchira thrissur,1
mupliyam chalakudy,1
chalakudy amballur,2
chalakudy puthukkad,4
puthukkad kodakara,2
chengannur chengannur (circular),7
chengannur elavumthitta,2
elavumthitta chengannur,4
kannur kozhikkode,48
punalur chakkuvarakkal (stay),8
chakkuvarakkal punalur,7
chakkuvarakkal kokkadu,1
kokkadu kunnikode,4
kunnikode kokkadu,3
kunnikode aryankavu,1
padappakkara kollam,13
murikkassery changanassery,1
changanassery ponnamala,1
angamaly changanassery,1
kattakkada vithura,4
padappakkara kollam (chinnakada),14
kollam (chinnakada) padappakkara,13
kollam civil station padappakkara,14
vithura aryanad,7
padappakkara kollam civil station,15
thrippunithura pandapilly,1
pandapilly muvattupuzha,1
konnakkad pala,1
dalummugham tvm medical college,2
pala muvattupuzha,2
tvm medical college dalummugham,1
thiruvananthapuram guruvayoor,7
nilambur vytilla hub,1
ernakulam vytilla hub nilambur,3
kottarakkara thenmala,1
aryankavu kottarakkara,3
vembayam nedumangad,5
kottarakkara kazhuthurutty,1
panacode mukkola,1
kazhuthurutty kottarakkara,1
mukkola nedumangad,1
nedumangad bonacaud,1
edamon 24 kundara,1
nedumangad bonacaud (stay),2
punalur chemmanthoor kunnikode,2
bonacaud nedumangad,1
bonacaud thiruvananthapuram,2
bonacaud upper thiruvananthapuram,3
thiruvananthapuram bonacaud upper,2
thiruvananthapuram bonacaud,1
thiruvananthapuram tholicode,2
kottiyam paravur,1
paravur chathannoor,1
chathannoor marakkulam,5
pothencode kazhakkoottam,33
marakkulam chathannoor,4
marakkulam kollam,6
kollam marakkulam,5
chembakappara kattakkada,6
thrissur puthukkad,9
kattakkada chembakappara,7
kattakkada vazhichal,12
vazhichal kattakkada,10
tvm medical college nalanchira,1
nalanchira nedumangad,3
panayamuttam thiruvananthapuram,1
vizhinjam puthiyathura,1
maruthoorkonam thiruvananthapuram,1
nedumangad nethajipuram (stay),1
panavilacode temple vizhinjam,1
nethajipuram nedumangad,1
kattakkada panavilacode temple,1
puthiyathura thiruvananthapuram,1
vizhinjam karichal,1
karichal thiruvananthapuram general hospital,2
thiruvananthapuram general hospital karichal,1
nedumangad panacode (stay),5
karichal thiruvananthapuram,1
nedumangad vembayam,5
chengannur adoor,24
parumala chengannur,1
eramallikara chengannur,3
kollengode kozhikkode,1
kozhikkode kollengode,1
chengannur chakkulathukavu,1
attingal kottiyam,11
kollengode chittoor,2
chakkulathukavu othera,1
mangalam dam kozhikkode,2
chengannur mavelikkara,12
kozhikkode mangalam dam,1
mavelikkara chengannur,11
mangalam dam vadakkencherry,1
vadakkencherry mangalam dam,1
thiruvananthapuram thirparappu,1
thirparappu kayamkulam,1
kayamkulam kaliyikkavila,2
amboori thiruvananthapuram,3
vellarada mayam,1
puthukurichy thiruvananthapuram,4
koilandi thamarassery,30
perumathura thiruvananthapuram,38
thiruvalla anakulam,1
anakulam thiruvalla,1
mala kumily,1
kumily mala,1
thaliparamba kanhangad,1
kattakkada kudappanamoodu,3
kannur cheekkadu (stay),1
kattakkada keezharoor,17
keezharoor kattakkada,15
thiruvananthapuram plampazhinji,2
plampazhinji kattakkada,4
kattakkada anacode,3
anacode thiruvananthapuram,2
thiruvananthapuram poovachal,1
secretariat anacode,1
mysore ponnani,1
nedumkandam guruvayoor,1
rajakkad nedumkandam,1
kottayam chemmannar,2
thiruvananthapuram thiruvananthapuram (circular),3
cherthala sulthan bathery,1
sulthan bathery cherthala,1
vizhinjam aazhimala,1
cherthala mannarkad,1
vellarada tvm medical college,8
eattu purakkal cherthala,3
cherthala poochakkal,1
poochakkal cherthala,1
puthenkavu muhamma,1
puthenkavu alappuzha,1
puthoor kadampanad,1
kadampanad puthoor,1
adoor mannady,2
mannady adoor,3
poozhikunnu kattakkada,1
mannarkad cherthala,1
kundara padappakkara,12
malayattoor edathuva,1
edathuva perumbavoor,1
perumbavoor piravom,1
kozhencherry pandalam,2
kozhencherry adoor,3
ernakulam koothattukulam,19
adoor kozhenchery,1
pandalam keerukuzhi,2
keerukuzhi chengannur,1
chengannur kottarakkara,4
adoor changanassery,4
changanassery adoor,3
madathara palode,4
puliyoor attukal,1
attukal peringamala,1
peringamala thiruvananthapuram,2
east fort palode,1
mananthavady kottayam,3
kottayam mananthavady,3
virajpet palakkad,1
thiruvananthapuram puthukurichy (stay),2
neeleswaram parappa,1
kollam marakkulam (stay),6
parappa kanhangad,6
kollam civil station marakkulam,6
marakkulam kollam civil station,7
parippally perumon,2
perumon karunagappally,1
payyannur karivellur,1
kollam nadakkal,1
karivellur payyannur,1
nadakkal perumon,1
perumon chathannoor,2
payyannur payyannur (circular),1
pazhayangadi thaliparamba,3
palakkad virajpet,5
ernakulam palani,16
palani thrissur,3
ernakulam angamoozhy,2
palakkad karappara,6
thiruvananthapuram meenankal,8
tvm medical college meenankal,1
thriuvananthapuram aryanad,3
thiruvambady kurottupara,1
kurottupara palakkad,1
palakkad thamarassery,5
sulthan bathery kalpetta,10
mangalam dam choorupara,1
ottapalam konnakkalkadavu,1
konnakkalkadavu vadakkencherry,1
palakuzhy thrissur,3
thrissur palakuzhy,3
vadakkencherry munnar,1
munnar vadakkencherry,1
kulathupuzha kadamankode,3
kadamankode kulathupuzha,1
kozhencherry mallappally,7
olippara thrissur,1
kadamankode thiruvananthapuram,1
karunagappally chathannoor,7
kattakkada amboori,2
thrissur kothamangalam,1
kothamangalam pollachi,1
koothattukulam aruvippuram,1
aruvippuram koothattukulam,1
vithura ponkunnam,1
thrissur ottapalam,10
ottapalam thrissur,8
chathanoor pozhikkara,1
pozhikkara ernakulam,1
chathanoor kottayam,1
kayamkulam chathanoor,2
kollam thiruvananthapuram (end to end),105
thiruvananthapuram kollam (end to end),109
parappanangadi manjeri,6
chengannur railway station pathanamthitta,100
nedumbassery airport kozhikkode,5
thiruvananthapuram chathannoor,1
attingal nilamel,2
kozhikkode nedumbassery airport,5
attingal kallambalam,2
kudappanamoodu kattakkada,3
thiruvananthapuram civil station chemboor,4
venjaramoodu nedumangad,6
venjaramoodu panavoor,2
attingal venjaramoodu,1
venjaramoodu attingal,3
tholicode nedumangad,2
kottarakkara kottarakkara (circular),22
kottarakkara anchal (stay),12
kottarakkara channapetta,5
channapetta kottarakkara,4
kottarakkara nedumankavu (stay),10
odanavattom kottarakkara,3
kottarakkara odanavattom,3
thalassery kannur,31
choorupara chalakudy,1
chalakudy choorupara,1
vadakkenchery mangalam dam,5
mangalam dam vadakkenchery,2
vadakkenchery nenmara,1
mangalam dam thrissur,1
erumely vadakkencherry,1
thalassery mookambika temple,1
mookambika temple thalassery,1
kilimanoor ambedkar colony,3
ambedkar colony thiruvananthapuram,2
ambedkar colony attingal,1
attingal ambedkar colony,1
kanhangad bengalam,1
bengalam neeleswaram,1
neeleswaram palayi,1
palayi neeleswaram,1
neeleswaram cheruvathoor,2
cheruvathoor kanhangad,1
kasaragod neeleswaram,1
neeleswaram azhithala,1
azhithala neeleswaram,2
neeleswaram kayyoor,3
kayyoor neeleswaram,2
kayyoor kanhangad,1
kanhangad thalassery,1
thennoor vithura,1
thalassery kanhangad,1
kanhangad depot chittarikal,2
vithura thennoor,2
kallambalam tvm medical college,1
kodungallur aluva,11
tvm medical college kallambalam,1
kozhikkode kalpetta,16
alappuzha pathanamthitta,10
kadamankode nedumangad,1
manakattumoola thiruvananthapuram,5
peroorkada chellanchy,1
kattakkada neyyar dam,23
poovar vizhinjam,14
chathannoor pozhikkara,1
pozhikkara kollam,3
pozhikkara thirumullavaram,2
thirumullavaram pozhikkara,2
kollam pozhikkara,1
kollam pozhikkara (stay),2
chathannoor anchal,1
anchal kollam civil station,2
kollam ayoor,2
ayoor chathannoor,1
chathannoor kalakkode,1
kalakkode kayamkulam,1
kollam kalakkode (stay),1
chathannoor oonninmoodu,1
oonninmoodu karicode,1
mananthavady keezhpally,2
keezhpally mananthavady,2
mananthavady chandanakkampara (stay),1
chandanakkampara mananthavady,1
karunagappally kallamabalam,16
perumbavoor thrippunithura,9
marakkulam kottiyam,1
cheekkadu kannur,1
payyannur kozhichal,1
kozhichal payyannur,1
payyannur pazhayangadi railway station,10
pazhayangadi railway station payyannur,9
payyannur perul (stay),1
perul payyannur,1
payyannur thayyeni,3
thayyeni payyannur,3
thayyeni neeleswaram,1
thayyeni thirumeni,1
thirumeni thayyeni (stay),1
thaliparamba alakode (stay),4
alakode mangalapuram,1
kannur thalassery,29
pulpally mananthavady,33
perinthalmanna guruvayoor,3
guruvayoor perinthalmanna,3
perinthalmanna valamboor,2
valamboor perinthalmanna,2
perinthalmanna aliparamba,3
aliparamba perinthalmanna,3
